student code,"q3a: You used a single fixed pulley to lift a watermelon to your tree house.  If you changed it to a single movable pulley and ignore the effects of friction, the distance pulled would:

Correct option = 1, ""Increase""",,q3b: Explain your reasoning about the distance pulled. ,q3b code,"q3c: the applied force required would: 

Correct option = 2, ""Decrease""",,q3d:Explain your reasoning about the applied force required. ,q3d code,"q4: Which of the following will require less applied force to lift a load to a height of 2 meters using a single fixed pulley? 

Correct option = 1, ""A well-oiled pulley""",,q4a: Explain your reasoning about the applied force required. ,q4a code,"q7a1: You used a single fixed pulley to lift a watermelon to your tree house.  If you used a single movable pulley instead and ignore the effects of friction, the applied force needed would: 

Correct option = 2, ""Decrease""",,q7a2: Explain your reasoning about the applied force needed.,q7a2 code,"q7b1: ...the work done would: 

Correct option = 3, ""Stay the same""",,q7b2: Explain your reasoning about the work done.,q7b2 code,"q9: Jane is lifting a box straight up to a height of 1 meter. Mary is using the pulley shown below to lift the same box to the same height.  If you ignore friction, what can you tell about the work done by Jane and Mary?

Correct option = 3, ""Jane and Mary are doing the same work""",,q9a: Explain your reasoning about the work done in this question.,q9a code,"q10: Which of the following will require more work to lift a load to a height of 2 meters if you are using a single fixed pulley? 

Correct option = 2, ""A rusty pulley that needs to be oiled""",,q10a: Explain your reasoning about the work required. ,q10a code,"q11: Jacob uses a fixed pulley to lift a box 1 meter. He then uses the same pulley to lift an identical box 2 meters. In which condition did Jacob do more work?

Correct option = 2, ""When lifting the box 2 meters""",,q11a: Explain your reasoning about the work done in this question.,q11a code,"q13: If you ignore friction, which one of the following pulley set-ups will give the most mechanical advantage?
 
Correct option =  4, ""A double compound pulley""",,q13a: Explain your reasoning about mechanical advantage in this question.,q13a code,"q14: If you ignore friction, which one of the following pulley set-ups will give more mechanical advantage?

Correct option = 3, ""Pulley set-up A and Pulley set-up B will give you the same mechanical advantage""",,q14a: Explain your reasoning about mechanical advantage in this question.,q14a code
Pulley9-10-217,1,Increase,Less force is needed when you use a movable pully which means u have to pulls the string farther. ,2,2,Decrease,"Fixed pullys dont' change the force, they only change the way u pull the string, movable pulleys decrease force. ",1,1,A well-oiled pulley,A well oiled pulley will have less friction than a rusty one which would decrease the amount of force you would have to use. ,2,2,Decrease,"Fixed pulleys don't decrease the force, they just change the direction you pull the string. Movable pulleys would decrease the force. ",1,3,Stay the same,"You are doing the same amount of work with both pulleys, but each one just changes how you do it. ",1,3,Jane and Mary are doing the same work,Simple machines only reduce your force not your work.,1,3,Both pulleys will require the same work,They require the same work but some are easier to do than others. ,0,2,When lifting the box 2 meters,He is moving the pulley twice the height of the first time.,1,4,A double compound pulley,A double compound pulley uses the least amount of force which increases your MA.,1,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,they have the same MA because the added pulley doesn't do anything. ,1
Pulley9-10-216,2,Decrease,Becuse it would be eseyer.,0,1,Increase,It would recuwer more applied force.,0,1,A well-oiled pulley,Becuse it will be alot eser becuse it will be slipery and be eser to use.,1,2,Decrease,It would decrease.,1,1,Increase,it would in creace.,0,1,Jane is doing more work,Becusse she is lifting a box strat up and Marey is using a pulley alot eser.,0,1,A well-oiled pulley,Becuse it would work esere than a rustey pulley.,0,2,When lifting the box 2 meters,Becuse it is higher.,1,1,One fixed pulley,Becuse it is the hardes to use.,0,2,Pulley set-up B,Becuse it is eser.,0
Pulley9-10-215,2,Decrease,It does not have more then one pully.,0,1,Increase,Irt has only one pully.,0,1,A well-oiled pulley,it will move easyer because it is slipeyer.,1,2,Decrease,It gos easyer. ,1,2,Decrease,IDK why.,0,1,Jane is doing more work,It taks more force.,0,2,A rusty pulley that needs to be oiled,It cant go as easy.,1,2,When lifting the box 2 meters,I do not Know why.,0,4,A double compound pulley,IDK why.,0,2,Pulley set-up B,less force= ^MA,0
Pulley9-10-214,4,Not enough information to decide,i dont know we didnt really talk about that,0,2,Decrease,because our experimnts say so,1,1,A well-oiled pulley,we didnt talk about that but i know that an oiled pulley will have less friction which will reuire less applied force,2,2,Decrease,this is the same question i answered before. our experiments show that a moveable has less AF than a fixed pulley,1,2,Decrease,because,0,1,Jane is doing more work,because using a pulley requires less work than just lifting it up,0,2,A rusty pulley that needs to be oiled,because a rusty pulley has more friction and more friction means more AF and more AF means more work,2,2,When lifting the box 2 meters,because the higher you lift an object the more work you will be doing,1,4,A double compound pulley,"this is the ""easiest"" one",1,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,they both pulled the same distance,2
Pulley9-10-213,2,Decrease,don't know,0,2,Decrease,less M.A.,0,1,A well-oiled pulley,not as much friction ,2,2,Decrease,less M.A. ,0,3,Stay the same,NO FRICTION,1,2,Mary is doing more work,hi,0,1,A well-oiled pulley,friction less,2,3,The amount of work done was the same,friction,0,4,A double compound pulley,more supporting strands,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,no supporting strands,0
Pulley9-10-212,3,Stay the same,the distance would stay the same because you are  still movin gthe watermellon the same height.,0,2,Decrease,the applied forece would decrese because the each strand moves the work around,1,,,,0,3,Stay the same,the applied would stay the same because there anre'nt more stranfds  ,0,3,Stay the same,the height is'nt changing,3,3,Jane and Mary are doing the same work,the height is not changing,3,3,Both pulleys will require the same work,the height does not change,0,2,When lifting the box 2 meters,he is lifting the box heigher,1,4,A double compound pulley,more pulleys,1,2,Pulley set-up B,more pulleys,0
Pulley9-10-211,3,Stay the same,A fixed pully has verry little MA,0,3,Stay the same,A fixed pully has verry little MA,0,1,A well-oiled pulley,the oiled pully will spin better than the rusty pully,1,3,Stay the same,they both make the job esery,0,3,Stay the same,work will stay the same,1,1,Jane is doing more work,It is earsy to lift a load using a pully. it is harder than to a load strate up,0,3,Both pulleys will require the same work,work stays the same,0,2,When lifting the box 2 meters,the work is different,1,4,A double compound pulley,it is just earsy,1,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,a fixed pully has very little MA,0
Pulley9-10-210,3,Stay the same,They have the same amount of string .,0,2,Decrease,You have more supporting strands.,2,1,A well-oiled pulley,There's less friction.,2,3,Stay the same,They have the same amount of string.,0,2,Decrease,You have more supporting strands.,0,1,Jane is doing more work,"Mary has a supporting strand,while Jane dosen't.",0,1,A well-oiled pulley,You have less friction.,2,1,When lifting the box 1 meter,"The higher you lift somthing with a single fixed pulley, the more work you do.",1,4,A double compound pulley,It has more supporting strands.,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,None of them have any supporting strands.,0
Pulley9-10-21,1,Increase,Since the distance would increase because the applied force is decreasing ,2,2,Decrease,"Since the distance is increasing, the applied force is decreasing ",2,1,A well-oiled pulley,"If there is more friction, with the rusty pulley, then the applied force would be greater. I chose the well oiled pulley because i thought there would be less friction.",2,2,Decrease,The applied force decreases because the distance increased. ,2,3,Stay the same,If distance increases and force decreases then work will stay the same. ,2,1,Jane is doing more work,"Work = distance * force, so if the both go the same distance, but then mary has less force then, jane will be doing more work",0,1,A well-oiled pulley,distance * force = work,0,2,When lifting the box 2 meters,the work he is doing is the amount he pulls * the force he puts in. ,2,4,A double compound pulley,The is more MA with more compound pulleys. ,1,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,The mechanical advantage is the same because the are still pulling the same distance. ,2
Pulley9-10-209,3,Stay the same,i dont know,0,3,Stay the same,its to the same hight,0,4,Not enough information to decide,i dont know,0,,,i dont know,0,2,Decrease,i dont know,0,1,Jane is doing more work,she is not using a pulley,0,2,A rusty pulley that needs to be oiled,i dont know ,0,2,When lifting the box 2 meters,the distance lifted change,1,4,A double compound pulley,it has more supporting strands,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,they have the same amount of supporting strands,2
Pulley9-10-208,3,Stay the same,"A single movable pulley reduces force, unlike a fixed pulley. If you were to change the single fixed with a single movable, the distance shouldn't change because you're lifting it up to the same place.",0,2,Decrease,A single fixed pulley does not reduce force; it only reverses the direction that force goes. A movable pulley reduces force; it doesn't reverse the direction.,1,1,A well-oiled pulley,"Friction increases the force needed to pull up that load. If it's rusty, then it it will make you work harder to lift the load. An oiled pulley with make things go much smoother.",2,2,Decrease,A fixed pully doesn't reduce force. A movable one does.,1,3,Stay the same,"The force is decreasing, meaning the distance is going up, so the work would stay the same whether you had a fixed or movable pulley",2,3,Jane and Mary are doing the same work,"Mary is using a compound pulley. In order to reduce force, the distance must increase.",2,2,A rusty pulley that needs to be oiled,"Friction affects work. Therefore, the more friction there is, the more work needed to accomplish your task.",2,2,When lifting the box 2 meters,"Jacob didn't reduce any sort of force when he was lifting the box to the height of two meters. He only increased the distance. When force stays the same, but distance increases, work increases.",2,4,A double compound pulley,"The more mechanical advantage there is (MA), the less force there is. Double compound pulleys reduce force more than any of the others, so the MA is higher than the others also.",1,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,Fixed pulleys don't reduce force.,1
Pulley9-10-207,2,Decrease,it is how far your hand goes to lift it up,0,1,Increase,how much force you put into it,0,1,A well-oiled pulley,how much effert you put into     it                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,1,2,Decrease,how much force you put into it,1,2,Decrease,how far it goes,0,3,Jane and Mary are doing the same work,how far your hand goes down,0,2,A rusty pulley that needs to be oiled,how much your hand moves,0,2,When lifting the box 2 meters,how far your hand goes,1,3,One movable pulley,Mechanical advantage in this problem is when the pulley is doing the work.,0,2,Pulley set-up B,it is how much work you put into,0
Pulley9-10-206,2,Decrease,The movable pulley's distance required is shorter than the fixed pulley's.,0,2,Decrease,"Because the movable pulley system attracts less friction, it will require less force to lift.",0,1,A well-oiled pulley,"A rusty pulley will attract more friction, while the oiled pulley allows the strand to glide smoothly. ",2,2,Decrease,The movable pulley attracts less friction and doesn't lift the load with its weight on the strands.,0,3,Stay the same,I don't think that the applied force effects the work done.,1,3,Jane and Mary are doing the same work,"Because the work is distance the object moved x distence pulled to lift the object is the same for Mary and Jane, their work is equal.",2,2,A rusty pulley that needs to be oiled,A rusty pulley will make it harder to lift.,1,2,When lifting the box 2 meters,"Because Jacob increased his distance, he also increased his work.",1,4,A double compound pulley,The double compound pulley will decrease the amount of applied force.,1,2,Pulley set-up B,"Though by very little, B will decrease the applied force. ",0
Pulley9-10-205,2,Decrease,because  the pulley uses less aplied force,0,2,Decrease,because there are more supporting stands,2,1,A well-oiled pulley,it will be easier becausethe pulley won't be hard to move,1,2,Decrease,there would be more supporting strands,2,2,Decrease,there is less aplied force so less work,0,1,Jane is doing more work,mary uses less aplied force so less work,0,1,A well-oiled pulley,it will be easier to pull,0,2,When lifting the box 2 meters,because it is distance pulled times aplied force and there is more distance pulled,2,4,A double compound pulley,there is also less aplied force so more ma,1,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,there is no difference with aplied force,1
Pulley9-10-204,3,Stay the same,because the distance you move it wont change just because you change the pulley.,0,2,Decrease,because a fixed pulley is easier.,0,1,A well-oiled pulley,a rusty pulley would have more friction.,2,1,Increase,because a fixed pulley is easier.,0,1,Increase,if there is more applied force more work will need to be done because the formula for work is applied force times distance.,0,1,Jane is doing more work,most pulleys decrease the amount of work done and in this case it would.,0,1,A well-oiled pulley,a well oiled pulley would decrease the amount of work you are doing.,0,3,The amount of work done was the same,the work would be the same because it is the same pulley and the smae load.,0,4,A double compound pulley,a double compound pulley because the more compound pulleys you have the easier it is to pull your load from point a to point b.,1,2,Pulley set-up B,because because it would be the same thing as using two fixed pulleys,0
Pulley9-10-203,1,Increase,"I think the distance would increace because you would be pulling it up, and it would increase the distance, because it would have to be pulled straigt up into the tree house re- quiring it to make the distance  pulled...",0,1,Increase,it would increase because you would have to pull harder and the APPLIED FORCE would increase caz u would pull harder ,0,1,A well-oiled pulley,it will make the load go up faster if its oiled so u would have less APPLIED FORCE.,1,4,Not enough information to decide,i dont know the answer,0,1,Increase,it is going to be hard to lift the water-melon so the WORK would increase,0,1,Jane is doing more work,mary is doing more work because she aint using a pully and its going to be harder to lift,0,2,A rusty pulley that needs to be oiled,"it is RUSTY, OLD , and NEEDS TO BE OILED so it would accire more work",1,2,When lifting the box 2 meters,he had to lift it more ,1,3,One movable pulley,i just guesed but i thinK that amoveable pullywould be the most MACHANICAL advantagous,0,1,Pulley set-up A,A is smaller and will take more MA while B has 2 pullies so it will take less MA,0
Pulley9-10-202,1,Increase,Because you would be pulling the string up not down and it would just be longer,0,2,Decrease,Because you wouldnt be pulling in as hard up than down,1,1,A well-oiled pulley,Because a rusty pulley uses a lot of force because it is using a lot of friction and also a well oiled pulley isnt using a lot of friction it is the complete opposite is using very little friction.,2,1,Increase,Because you would be using a lot of your mucles to pull it up because it is hareder to pull something upwards instead of downwards,0,1,Increase,because the work is force times distance soo the force increased so the number is gonna be bigger,0,1,Jane is doing more work,Because a pulley makes life a lot easier so she is doing a lot more than work than Mary(is using the pulley) Jane(no using the pulley),0,2,A rusty pulley that needs to be oiled,Because a well oiled pulley isnt using a lot of force at all it is actually using like none and work is force times distance and a rusty pulley is using a lot of force.,2,2,When lifting the box 2 meters,"Because work is force times distance, soo you are naturaly using more work",1,4,A double compound pulley,Because a MA is Length the string is pulled / by the length it is lifted,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,They both are the same distance,2
Pulley9-10-201,3,Stay the same,It would stay the same because nothing else would really change.,0,2,Decrease,It would take less applied force because it would even out the weight and there for take less applied force.,2,1,A well-oiled pulley,The oiled pulley would just slide over and it would not take as much effort as it would to use a rusty pulley.,1,2,Decrease,The applied force needed would decrease because the more strands the more the weight would even out.,2,2,Decrease,I didnt understand this question so I just guessed.,0,1,Jane is doing more work,I think Jane was doing more work because it takes more work to lift something straight up. Mary doesnt have to do alot of work because the weight was even out by the pulley.,0,4,Not enough information to decide,I didnt really know what to say because I didnt understand the question.,0,4,Not enough information to decide,I didnt understand this question.,0,1,One fixed pulley,One fixed pulley would be harder because you would almost have to lift it almost straight up instead Cathy is evening out the weight and that is making it easier to lift the load.,0,4,Not enough information to decide,I dint understand the question so I just guessed.,0
Pulley9-10-200,3,Stay the same,stay the same with a moveable pulley and a fixed,0,4,Not enough information to decide,hhhhgghhgggggggghhhhhhhhhhhhhhhhhhhghhhhhhhhhhhhhggggggggggggghggggggggggh,0,4,Not enough information to decide,A well oiled pulley moves better,1,1,Increase,moveable has less applied force,0,4,Not enough information to decide,I dont know,0,1,Jane is doing more work,double compound is easier to use,0,1,A well-oiled pulley,well-oiled is easier to use than rusty ,0,2,When lifting the box 2 meters,lifted the box higher               ,1,4,A double compound pulley,"the more supporting strands, the more MA",2,2,Pulley set-up B,3 supporting strands,0
Pulley9-10-20,1,Increase,You have to move more,1,2,Decrease,"Fixed pulleys don't reduce force, but movable pulleys do",1,1,A well-oiled pulley,"A rusty pulley would create more friction, increasing the applied force",2,2,Decrease,"Fixed pulleys don't lessen force, but movable pulleys do",1,3,Stay the same,2,2,1,Jane is doing more work,"Compound pulleys are used to reduce force, and without friction, lifting it straight up is more work",0,2,A rusty pulley that needs to be oiled,"A rusy pulley increases friction, which increases force, which increases work",2,2,When lifting the box 2 meters,"Work is force times distance, and if force stays the same, and distance increases, then work increases",2,4,A double compound pulley,Compound pulleys increase MA,1,2,Pulley set-up B,There is more distance between the load and the force,0
Pulley9-10-2,3,Stay the same,"the length would stay the same, because when you change the pulley system from fixed to movable you are still pulling  the rope  the ssame length. ",0,2,Decrease,more supporting strands.,2,1,A well-oiled pulley,a rusty pulley will have more friction than an oiled pulley that has less ,2,2,Decrease,more supporting strands. which means less applied force.,2,2,Decrease,"there would be less work because less applied force. work= applied force times by distance pulled. since distance pulled is the same for both, and applied force is lowere on the movable, that one has less work.",,1,Jane is doing more work,by lifting it sraight up you are applying more force. so you will have more work.,0,1,A well-oiled pulley,a rusty pulley will have more friction and you have to apply more force. which means more work.,2,2,When lifting the box 2 meters,distance rope gott pulled is longer when he pulled the load up 2 meters than pulling it up only 1 meter.,1,4,A double compound pulley,the more supporting strands you have the more ma you have and the double coumpoun has the most suporting strands.,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,the extra pulley on system b doesnt do anyrhing so they are exactly the same.,1
Pulley9-10-199,1,Increase,"Since force goes down when distance goes up, the moveable pulley would increase distance. The single fixed pulley doesn't decrease force.",1,2,Decrease,"If the distance increased, than the applied force would decrease.",2,1,A well-oiled pulley,"The friction of the rust would make the efficiency and MA decrease, making force increase.",2,2,Decrease,A moveable pulley decreases force while a fixed pulley stays the same.,1,3,Stay the same,1,1,3,Jane and Mary are doing the same work,Pulleys only decrease force and not work.,2,3,Both pulleys will require the same work,"If it is going to the same height, than the work stays the same.",0,2,When lifting the box 2 meters,"Since he lifted it 1 meter more, it is doing more work.",1,4,A double compound pulley,"Since the force would be the lowest, the MA would increase.",1,2,Pulley set-up B,"2 pulleys will reduce the amount of force needed, increasing MA.",0
Pulley9-10-198,1,Increase,Movable pulleys increase the distance pulled,1,2,Decrease,Movable pulleys decrease A.F. because the increase the length over which work is done,2,1,A well-oiled pulley,The rusty one will increase A.F. because more friction occurs,2,2,Decrease,Movable pulleys require less A.F. than single fixed,1,3,Stay the same,You are doing the same job,2,3,Jane and Mary are doing the same work,Work is the job being done they are both doing the same job,2,2,A rusty pulley that needs to be oiled,The pulley that is rusty will require more input work,1,2,When lifting the box 2 meters,Work increases when height lifted increases,1,4,A double compound pulley,Double compund pulleys increase the distance and M.A. depends on distance,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,If the load is lifted to the same height with both M.A. will be the same in both because the ditance pulled and moved will be the same,1
Pulley9-10-197,3,Stay the same,the distance pulled would stay the same because both systems have only 1 pulley,0,3,Stay the same,it would decrease becuase systems have only 1 pulley,0,1,A well-oiled pulley,the applied force would be less becuase oil makes things move easier,1,3,Stay the same,the applied force would stay the same becuase both of the systems have 1 pully,0,2,Decrease,the work would stay the same because both systems have only 1 pulley,0,1,Jane is doing more work,a pulley decreases the work. jane is doing more work because she is not using a pulley.,0,1,A well-oiled pulley,the work would be less becuase oil makes things move easier,0,3,The amount of work done was the same,it staye dthe same becuase the systems did not change. he just lifted the load higher,0,4,A double compound pulley,"a double compound is 2 pulleys side by side on the bottom and 2 pulleys side by side on the top.  if 1 pulley makes work easier, than a double compound will make work even easier.",1,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,the pulley systems are singal fixed pulley,1
Pulley9-10-196,3,Stay the same,its the same,0,3,Stay the same,its the sane thing,0,1,A well-oiled pulley,less friction,2,3,Stay the same,idk,0,3,Stay the same,idk,0,1,Jane is doing more work,its jane,0,2,A rusty pulley that needs to be oiled,the more friction the more work is done,2,2,When lifting the box 2 meters,he is pulling it longer,1,4,A double compound pulley,it has more m.a,1,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,it not supported by strands,2
Pulley9-10-195,2,Decrease,well i not quite sure but i think it would decrease because the pulley would  have friction so it would decrease,0,1,Increase,it would increase because the more applied forse the less friction so it would increse,0,1,A well-oiled pulley,im not sure what it is but yeah,0,2,Decrease,same as number 3,0,1,Increase,i dont know ,0,2,Mary is doing more work,jane is doing more work because she is lifting it with her hands. It would be easier to use a pulley. ,0,2,A rusty pulley that needs to be oiled,a rusty one because it would be harder to pull.,1,4,Not enough information to decide,Not enough imfomation to decide,0,3,One movable pulley,not sure,0,2,Pulley set-up B,because it has two pulleys,0
Pulley9-10-194,1,Increase,its moveable,1,1,Increase,when its moving there is friction and friction makes aplied force go up,0,1,A well-oiled pulley,its slides easier so you wont have to use as much aplied force,1,2,Decrease,i can move so you dont have to do as much work,0,3,Stay the same,"distance goes up, force goes down and work stays the same",2,1,Jane is doing more work,work = force x distance,0,2,A rusty pulley that needs to be oiled,you will have to go over more bumps,1,1,When lifting the box 1 meter,work = force x distance,1,1,One fixed pulley,ma = distance moved over distance pulled,0,2,Pulley set-up B,same as 13a,0
Pulley9-10-193,3,Stay the same,"     You are still lifting it from the ground to the tree house, therefor the distance would remain the same.",0,2,Decrease,      It would have more *M.A. and that means less applied force.                                                                                                                                      *more supporting strands means more M.A.  ,2,1,A well-oiled pulley,       A well-oiled pulley will require less applied force because it will have less friction and therefor more M.A.,2,3,Stay the same,     It would have more *M.A. and that means less applied force.                                                                                                                                          *more supporting strands means more M.A.,0,2,Decrease,     work=applied force*distance. So that means because I have less applied force I will have less work.,0,1,Jane is doing more work,"      Mary has more M.A.and less applied force so,she has less work because work=applied force*distance",0,2,A rusty pulley that needs to be oiled,      A rusty pulley will have more friction and therefor more applied force and more work.,2,2,When lifting the box 2 meters,      He does more work for the one where he lifts it higher because work=applied force*distance.,1,4,A double compound pulley,"    A double compound has more supporting strands and the number of supporting strands is the M.A. So, it has more M.A. ",2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,      Pulley set-up A and B have the same M.A. because M.A.=number of supporting strands.,2
Pulley9-10-192,2,Decrease,If the pulley is single and movable you will have less aplied force then if you would of used a single fixed pulley.,0,1,Increase,Because it is a movable it isn't fixed so the applied force will increase.,0,1,A well-oiled pulley,A well oiled pulley will work better because the string will roll better over the pulley wheel and the pivot point. ,1,2,Decrease,If you change the pulley system you would want to change to one that has less applies force.,1,2,Decrease,If you have less applied force then you have a less amount of work.,0,1,Jane is doing more work,Jane is doing more work because she is lifting the box straight up and Mari is using the pulley and using the supporting strands.,0,2,A rusty pulley that needs to be oiled,If you use a rusty pulley the string won't roll over the pulley wheel as smooth as it would if the pulley was well-oiled.,1,2,When lifting the box 2 meters,He is using more work when he lifts the box 2 meters because  he is lifting a meter higher then he is when he is lifiting it 1 meter high.,1,4,A double compound pulley,If you used a double compound pulley that has the less applied force and that brings it to the more M.A.,1,2,Pulley set-up B,I dont knoww.,0
Pulley9-10-191,1,Increase,The movable pulley has less M.A. so it would be larger distance.,0,3,Stay the same,They both the movable and fixed have the same number of supporting strands.,0,1,A well-oiled pulley,The surface would be more smooth so less friction which decreases applied force.,2,1,Increase,The strand is longer so it would take more applied force.,0,1,Increase,The movable does not have a wheel so it would take more work.,0,1,Jane is doing more work,By just lifting the box up you don't have any support but Mary has supporting strands on her pulley so she has more M.A.,0,4,Not enough information to decide,You need to know the distance pulled and distance object moved.,0,2,When lifting the box 2 meters,In pulley number 2 he has more distance object moved so that would increase the work done.,1,4,A double compound pulley,Well the more supporting strands there are the more mechanical advantage.,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,They both only have one supporting strand there for their mechanical advantage is the same.,2
Pulley9-10-190,2,Decrease,um im not really sure what they are trying to explain ,0,2,Decrease,i dont know i guessed,0,1,A well-oiled pulley,a well oiled pulley is eassier to use meaning the less applied force as possible,1,2,Decrease,i forgot about the applied force differents in single movable pulley vs. single fixed pulley  ,0,2,Decrease,the less applied force the less work is needed,0,1,Jane is doing more work,using the pully is less work then just lifting it straight up just like jane is doing in the question above,0,1,A well-oiled pulley,always a well oiled pulley is more efficent the a rusty pulley,1,2,When lifting the box 2 meters,because he lifted double the amout of work needed to do in the second time,1,4,A double compound pulley,double compound pulleys seem to be easier in our lab experiments and had the most mechanical advantage,1,1,Pulley set-up A,a pulley set-up like B is hard to do than A making A have the most mechanical advantage out of the two.,0
Pulley9-10-19,1,Increase,I think it would increase because a single movable pulley has more Applied Force because it has only one pulley.  ,0,1,Increase,Because it has only one pulley it takes more energy to pull something that is heavy.,0,3,Both pulleys will require the same applied force,"Because it can be very hard to move if it is rusty,but it could be very slippery if it is oiled.",0,1,Increase,Because if you are trying to lift a watermelon it would take so energy(A.F.)to lift something very heavy I dont really think it is the pulleys that affect it.,0,1,Increase,I think that if there is more Applied Force there is more work that is needed,0,1,Jane is doing more work,"Well, I think Jane is doing the most work because she has to pull the object with her own strenghth and use her back and everything when Mary is using a pulley to lift it ...yes she still use her strenghth but not as much.",0,2,A rusty pulley that needs to be oiled,Because it would take a tough time to yank the rope if it gets stuck in the rust.,1,3,The amount of work done was the same,Because nothing changed all he did is pull it one more meter.,0,1,One fixed pulley,Because it has the same A.f. as all the others.,0,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,Because it dosen't matter how much pulleys you have it all comes out the same.,1
Pulley9-10-189,1,Increase,"Since a fixed pully is not able to move, it is easier to move. But a moveable is moveable, so it requires more string to lift it.",0,3,Stay the same,The force would stay the same because you are pully it the same way.,0,1,A well-oiled pulley,"The friction would make it have less applied force, because the rusty one is harder to move.",2,3,Stay the same,You would use the same amount of force because you are pulling it the same way as the other one.,0,1,Increase,A moveable one requires more work because it moves around and is hard to control.,0,1,Jane is doing more work,Jane is putting her applied force equally so she doesnt have to do so much in time.,0,2,A rusty pulley that needs to be oiled,"The rusty pully would be all hard to move, so you would have to pull harder to make it move.",1,3,The amount of work done was the same,"He is using the same amount of work for the same box, but he is only just lifting it father into the air.",0,4,A double compound pulley,One pulley with more pulleys is going to make the MA go higher because the work is spread out evenly more.,1,2,Pulley set-up B,It has more pulleys so it has an advantage over the single pulley.,0
Pulley9-10-188,3,Stay the same,The distance will stay the same because the watermelon will stay the same weight.,0,2,Decrease,The applied force will decrease because the applied force will decrease.,1,1,A well-oiled pulley,If the pulley is oiled then it will be sliperly.,1,1,Increase,The aplpied force will increase because it is not the exact same. ,0,3,Stay the same,The work would stay the same because it is more.,0,3,Jane and Mary are doing the same work,It dosen't matter if you lift or use a pulley both you do the same amounmt of work.,1,1,A well-oiled pulley,The work will be low because the pully would be sliperly.,1,2,When lifting the box 2 meters,He did more work beccause the one with 2m is heiveir.,0,4,A double compound pulley,A double movable pulley will need more MA because it is more string.,1,2,Pulley set-up B,Pulley set up B has more MA beccause it has more string.,0
Pulley9-10-187,1,Increase,It would increase because a single pulley has a limited amount of string and for a single movable pulley the pulley goes up the string so that the string increases its length.,0,2,Decrease,It would decrease because when the string gets longer the less applied force there would be if there was less string or if you just pulled it.,1,1,A well-oiled pulley,a well oiled pulley has less applied force because if the pulley is not working weel and is rusty it will bes harder to pull up as if the pulley was well oiled and moving like it should it will be easier to pull up.,1,2,Decrease,It would decrease because it gives you more string so that the applied force will go down and it makes it easier to lift it up. ,1,1,Increase,increase because there is less work when you just lift it straight up so the work done would incease more.,0,2,Mary is doing more work,Mary is doing more work because lifting something straight up is less work than using a machine so mary is more work.,0,2,A rusty pulley that needs to be oiled,A rusty pulley will need more work because ifit is not runnig like it should you will have a harder time lifting it and that has more work.,1,2,When lifting the box 2 meters,2 because he lifted it higher so he did more work since it went higher than the other.,1,3,One movable pulley,1 movable pulley because the formula for machanical advantage is distance string pulled/distance load move. so the more lenghth of the string the more machanical advantage there is.,0,1,Pulley set-up A,A because there is more length there is so there will be more machanical advantage.,0
Pulley9-10-186,1,Increase,When you use a movable pulley the pulley is moving so you need to pull farther than whe you use a fixed pulley.,1,2,Decrease,"when you are using a single fixed pulley it dosn't decrease A.F. it just gets the job done, but when you use a single movable pulley it does decrease the A.F.",1,3,Both pulleys will require the same applied force,A single fixed pulley dosn't decrease the A.F.,0,2,Decrease,"the single fixed pulley just gets the job done, but the single movable pulley does decrease the A.F.",1,1,Increase,you are pulling a farther distance so the work would increase.,0,2,Mary is doing more work,Mary is pulling a further distance.,0,3,Both pulleys will require the same work,If you are doing the same job the work stays the same.,0,2,When lifting the box 2 meters,he is changingn the job he is doing.,1,4,A double compound pulley,because the formula for M.A. is distance pulled X distance moved and in a double compound you are pulling further.,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,you arn't changing anything in the formula for M.A.,1
